startDate,endDate,laserFlag,param1,param2,offset1,offset2,offset3,offset4
1/1/1900,5/31/2017,Upright1,1.00E-22,7.8731,0,0,0,0
6/1/2017,11/7/2017,Upright1,8.00E-23,8.077,0,0,0,0
11/8/2017,6/1/2018,Upright1,7.00E-23,7.9121,0,0,0,0
6/2/2018,7/1/2018,Upright1,2.00E-24,8.3908,0,0,0,0
8/28/2018,10/4/2018,Upright1,2.00E-24,8.3908,0,0,0,0
10/6/2018,11/18/2018,Upright1,2.38E-23,7.6537,0,0,0,0
11/19/2018,1/21/2020,Upright1,4.88E-24,8.1718,0,0,0,0
11/19/2018,1/21/2020,Inverted1,8.49E-23,7.4941,0,0,0,0
12/14/2019,1/21/2020,Upright1,1.35E-23,7.9677,0,0,0,0
12/14/2019,1/21/2020,Inverted1,2.42E-24,8.0743,0,0,0,0
1/22/2020,7/16/2020,Upright1,1.90E-21,7.1885,0,0,0,0
1/22/2020,7/16/2020,Inverted1,8.51E-22,7.1636,0,0,0,0
7/17/2020,12/1/2022,Upright1,1.89E-20,6.8312,0,0,0,0
7/17/2020,12/1/2022,Inverted1,8.51E-22,7.1636,0,0,0,0
6/10/2021,12/1/2022,Upright1,1.25E-23,7.9265,377,473,393,77
6/10/2021,12/1/2022,Inverted1,6.00E-36,12.232,0,0,0,0
12/2/2022,,Upright1,6.55E-24,8.029222607,379.7346952,446.6135238,379.3671238,71.04764762
12/2/2022,,Inverted1,4.15E-25,8.341763251,0,0,0,0
12/2/2022,,Upright2,5.51E-24,7.956680523,0,0,0,0
